topic,termNamesStr,domain,count
0,"[2020, school, new, time, students]",accesswdun.com,354
0,"[2020, school, new, time, students]",wickedlocal.com,1821
0,"[2020, school, new, time, students]",moneycontrol.com,121
0,"[2020, school, new, time, students]",washingtontimes.com,988
0,"[2020, school, new, time, students]",china.org.cn,100
0,"[2020, school, new, time, students]",marketwatch.com,223
0,"[2020, school, new, time, students]",pressandjournal.co.uk,368
0,"[2020, school, new, time, students]",independent.co.uk,362
0,"[2020, school, new, time, students]",latimes.com,564
0,"[2020, school, new, time, students]",newstimes.com,549
0,"[2020, school, new, time, students]",hindustantimes.com,675
0,"[2020, school, new, time, students]",thestar.com.my,322
0,"[2020, school, new, time, students]",gazette.com,331
0,"[2020, school, new, time, students]",seattlepi.com,757
0,"[2020, school, new, time, students]",news.com.au,235
0,"[2020, school, new, time, students]",thenews.com.pk,412
0,"[2020, school, new, time, students]",greenwichtime.com,640
0,"[2020, school, new, time, students]",thehindu.com,543
0,"[2020, school, new, time, students]",forbes.com,864
0,"[2020, school, new, time, students]",sfgate.com,1717
0,"[2020, school, new, time, students]",telegraph.co.uk,375
0,"[2020, school, new, time, students]",fool.com,250
0,"[2020, school, new, time, students]",inquirer.net,424
0,"[2020, school, new, time, students]",dawn.com,346
0,"[2020, school, new, time, students]",daijiworld.com,534
0,"[2020, school, new, time, students]",cnn.com,388
0,"[2020, school, new, time, students]",mirror.co.uk,666
0,"[2020, school, new, time, students]",vanguardngr.com,362
0,"[2020, school, new, time, students]",go.com,391
0,"[2020, school, new, time, students]",abs-cbn.com,225
0,"[2020, school, new, time, students]",indiatoday.in,429
0,"[2020, school, new, time, students]",msn.com,3626
0,"[2020, school, new, time, students]",wfmz.com,240
0,"[2020, school, new, time, students]",washingtonpost.com,860
0,"[2020, school, new, time, students]",netscape.com,185
0,"[2020, school, new, time, students]",timesofisrael.com,297
0,"[2020, school, new, time, students]",gulfnews.com,170
4,"[health, county, state, cases, public]",newindianexpress.com,103
4,"[health, county, state, cases, public]",thehindu.com,537
4,"[health, county, state, cases, public]",sfgate.com,2708
4,"[health, county, state, cases, public]",aninews.in,210
4,"[health, county, state, cases, public]",ndtv.com,63
4,"[health, county, state, cases, public]",chron.com,1978
4,"[health, county, state, cases, public]",newsnow.co.uk,56
4,"[health, county, state, cases, public]",pressandjournal.co.uk,59
4,"[health, county, state, cases, public]",newstimes.com,543
4,"[health, county, state, cases, public]",washingtonpost.com,503
4,"[health, county, state, cases, public]",inquirer.net,714
4,"[health, county, state, cases, public]",xinhuanet.com,92
4,"[health, county, state, cases, public]",yahoo.com,1294
4,"[health, county, state, cases, public]",marketwatch.com,106
4,"[health, county, state, cases, public]",gazette.com,588
4,"[health, county, state, cases, public]",usatoday.com,295
4,"[health, county, state, cases, public]",ibtimes.com,133
4,"[health, county, state, cases, public]",prnewswire.com,171
4,"[health, county, state, cases, public]",nhregister.com,760
4,"[health, county, state, cases, public]",fool.com,42
4,"[health, county, state, cases, public]",timesofisrael.com,81
4,"[health, county, state, cases, public]",netscape.com,115
4,"[health, county, state, cases, public]",telegraph.co.uk,30
4,"[health, county, state, cases, public]",greenwichtime.com,662
4,"[health, county, state, cases, public]",stamfordadvocate.com,618
4,"[health, county, state, cases, public]",chinadaily.com.cn,48
4,"[health, county, state, cases, public]",ksl.com,594
4,"[health, county, state, cases, public]",aljazeera.com,60
4,"[health, county, state, cases, public]",wfmz.com,372
4,"[health, county, state, cases, public]",orissapost.com,205
4,"[health, county, state, cases, public]",abs-cbn.com,133
4,"[health, county, state, cases, public]",scoop.co.nz,199
4,"[health, county, state, cases, public]",siouxcityjournal.com,372
4,"[health, county, state, cases, public]",timesnownews.com,72
4,"[health, county, state, cases, public]",tucson.com,479
4,"[health, county, state, cases, public]",news.com.au,99
4,"[health, county, state, cases, public]",firstpost.com,63
4,"[health, county, state, cases, public]",ctvnews.ca,862
4,"[health, county, state, cases, public]",go.com,351
4,"[health, county, state, cases, public]",theglobeandmail.com,153
4,"[health, county, state, cases, public]",financialexpress.com,55
4,"[health, county, state, cases, public]",mirror.co.uk,28
4,"[health, county, state, cases, public]",dailymail.co.uk,706
4,"[health, county, state, cases, public]",iheart.com,3841
4,"[health, county, state, cases, public]",thestar.com.my,201
4,"[health, county, state, cases, public]",ctpost.com,743
4,"[health, county, state, cases, public]",eveningexpress.co.uk,55
4,"[health, county, state, cases, public]",theguardian.com,121
4,"[health, county, state, cases, public]",thenews.com.pk,171
4,"[health, county, state, cases, public]",thejakartapost.com,55
4,"[health, county, state, cases, public]",seattlepi.com,769
4,"[health, county, state, cases, public]",china.org.cn,40
4,"[health, county, state, cases, public]",dawn.com,77
4,"[health, county, state, cases, public]",thetelegraph.com,1754
4,"[health, county, state, cases, public]",moneycontrol.com,37
4,"[health, county, state, cases, public]",prokerala.com,165
4,"[health, county, state, cases, public]",nbcnews.com,845
4,"[health, county, state, cases, public]",channelnewsasia.com,105
4,"[health, county, state, cases, public]",foxnews.com,587
4,"[health, county, state, cases, public]",onlinenigeria.com,312
4,"[health, county, state, cases, public]",cnn.com,296
4,"[health, county, state, cases, public]",stltoday.com,596
4,"[health, county, state, cases, public]",stuff.co.nz,132
4,"[health, county, state, cases, public]",cbc.ca,709
4,"[health, county, state, cases, public]",washingtontimes.com,1165
4,"[health, county, state, cases, public]",abc.net.au,55
4,"[health, county, state, cases, public]",wickedlocal.com,4169
4,"[health, county, state, cases, public]",cnbc.com,127
4,"[health, county, state, cases, public]",forbes.com,156
4,"[health, county, state, cases, public]",msn.com,5076
4,"[health, county, state, cases, public]",thestar.com,291
4,"[health, county, state, cases, public]",express.co.uk,16
4,"[health, county, state, cases, public]",business-standard.com,519
4,"[health, county, state, cases, public]",princegeorgecitizen.com,250
4,"[health, county, state, cases, public]",apnews.com,474
4,"[health, county, state, cases, public]",bbc.com,57
4,"[health, county, state, cases, public]",independent.co.uk,99
4,"[health, county, state, cases, public]",lmtonline.com,809
4,"[health, county, state, cases, public]",reuters.com,576
4,"[health, county, state, cases, public]",nytimes.com,319
4,"[health, county, state, cases, public]",latimes.com,784
4,"[health, county, state, cases, public]",thehour.com,713
4,"[health, county, state, cases, public]",patch.com,1838
4,"[health, county, state, cases, public]",accesswdun.com,340
4,"[health, county, state, cases, public]",bbc.co.uk,63
4,"[health, county, state, cases, public]",allafrica.com,560
4,"[health, county, state, cases, public]",daijiworld.com,132
4,"[health, county, state, cases, public]",indiatimes.com,545
4,"[health, county, state, cases, public]",indiatoday.in,84
4,"[health, county, state, cases, public]",680news.com,282
4,"[health, county, state, cases, public]",gulfnews.com,75
4,"[health, county, state, cases, public]",reliefweb.int,115
4,"[health, county, state, cases, public]",globalnews.ca,694
4,"[health, county, state, cases, public]",straitstimes.com,107
4,"[health, county, state, cases, public]",indianexpress.com,233
4,"[health, county, state, cases, public]",vanguardngr.com,370
4,"[health, county, state, cases, public]",thehill.com,404
4,"[health, county, state, cases, public]",hindustantimes.com,242
4,"[health, county, state, cases, public]",nzherald.co.nz,171
4,"[health, county, state, cases, public]",news12.com,438
7,"[new, china, lockdown, people, travel]",firstpost.com,396
7,"[new, china, lockdown, people, travel]",thenews.com.pk,1071
7,"[new, china, lockdown, people, travel]",scoop.co.nz,164
7,"[new, china, lockdown, people, travel]",netscape.com,627
7,"[new, china, lockdown, people, travel]",gazette.com,388
7,"[new, china, lockdown, people, travel]",ibtimes.com,791
7,"[new, china, lockdown, people, travel]",680news.com,461
7,"[new, china, lockdown, people, travel]",marketwatch.com,151
7,"[new, china, lockdown, people, travel]",thehindu.com,1027
7,"[new, china, lockdown, people, travel]",mirror.co.uk,454
7,"[new, china, lockdown, people, travel]",china.org.cn,659
7,"[new, china, lockdown, people, travel]",aninews.in,817
7,"[new, china, lockdown, people, travel]",apnews.com,448
7,"[new, china, lockdown, people, travel]",stuff.co.nz,649
7,"[new, china, lockdown, people, travel]",cnbc.com,395
7,"[new, china, lockdown, people, travel]",financialexpress.com,405
7,"[new, china, lockdown, people, travel]",thestar.com.my,1403
7,"[new, china, lockdown, people, travel]",msn.com,6372
7,"[new, china, lockdown, people, travel]",thehill.com,165
7,"[new, china, lockdown, people, travel]",tucson.com,618
7,"[new, china, lockdown, people, travel]",indiatoday.in,558
7,"[new, china, lockdown, people, travel]",aljazeera.com,1089
7,"[new, china, lockdown, people, travel]",prnewswire.com,70
7,"[new, china, lockdown, people, travel]",washingtonpost.com,655
7,"[new, china, lockdown, people, travel]",chron.com,1259
7,"[new, china, lockdown, people, travel]",abs-cbn.com,648
7,"[new, china, lockdown, people, travel]",ksl.com,717
7,"[new, china, lockdown, people, travel]",cnn.com,537
7,"[new, china, lockdown, people, travel]",go.com,557
7,"[new, china, lockdown, people, travel]",business-standard.com,2441
7,"[new, china, lockdown, people, travel]",nytimes.com,1475
7,"[new, china, lockdown, people, travel]",abc.net.au,605
7,"[new, china, lockdown, people, travel]",seattlepi.com,745
7,"[new, china, lockdown, people, travel]",timesnownews.com,678
7,"[new, china, lockdown, people, travel]",wfmz.com,482
7,"[new, china, lockdown, people, travel]",eveningexpress.co.uk,429
7,"[new, china, lockdown, people, travel]",nbcnews.com,899
7,"[new, china, lockdown, people, travel]",news.com.au,762
7,"[new, china, lockdown, people, travel]",xinhuanet.com,1722
7,"[new, china, lockdown, people, travel]",theglobeandmail.com,374
7,"[new, china, lockdown, people, travel]",reliefweb.int,342
7,"[new, china, lockdown, people, travel]",ndtv.com,681
7,"[new, china, lockdown, people, travel]",prokerala.com,723
7,"[new, china, lockdown, people, travel]",theguardian.com,834
7,"[new, china, lockdown, people, travel]",newsnow.co.uk,986
7,"[new, china, lockdown, people, travel]",newstimes.com,497
7,"[new, china, lockdown, people, travel]",siouxcityjournal.com,402
7,"[new, china, lockdown, people, travel]",dailymail.co.uk,3279
7,"[new, china, lockdown, people, travel]",washingtontimes.com,418
7,"[new, china, lockdown, people, travel]",yahoo.com,3288
7,"[new, china, lockdown, people, travel]",bbc.co.uk,528
7,"[new, china, lockdown, people, travel]",timesofisrael.com,963
7,"[new, china, lockdown, people, travel]",iheart.com,612
7,"[new, china, lockdown, people, travel]",fool.com,101
7,"[new, china, lockdown, people, travel]",sfgate.com,1634
7,"[new, china, lockdown, people, travel]",globalnews.ca,437
7,"[new, china, lockdown, people, travel]",straitstimes.com,1279
7,"[new, china, lockdown, people, travel]",orissapost.com,545
7,"[new, china, lockdown, people, travel]",newindianexpress.com,567
7,"[new, china, lockdown, people, travel]",thestar.com,431
7,"[new, china, lockdown, people, travel]",thetelegraph.com,1306
7,"[new, china, lockdown, people, travel]",indiatimes.com,2288
7,"[new, china, lockdown, people, travel]",inquirer.net,927
7,"[new, china, lockdown, people, travel]",nzherald.co.nz,605
7,"[new, china, lockdown, people, travel]",usatoday.com,289
7,"[new, china, lockdown, people, travel]",princegeorgecitizen.com,341
7,"[new, china, lockdown, people, travel]",nhregister.com,619
7,"[new, china, lockdown, people, travel]",stamfordadvocate.com,542
7,"[new, china, lockdown, people, travel]",indianexpress.com,915
7,"[new, china, lockdown, people, travel]",greenwichtime.com,539
7,"[new, china, lockdown, people, travel]",wickedlocal.com,79
7,"[new, china, lockdown, people, travel]",telegraph.co.uk,626
7,"[new, china, lockdown, people, travel]",pressandjournal.co.uk,434
7,"[new, china, lockdown, people, travel]",latimes.com,229
7,"[new, china, lockdown, people, travel]",channelnewsasia.com,1034
7,"[new, china, lockdown, people, travel]",lmtonline.com,570
7,"[new, china, lockdown, people, travel]",ctvnews.ca,571
7,"[new, china, lockdown, people, travel]",allafrica.com,885
7,"[new, china, lockdown, people, travel]",news12.com,630
7,"[new, china, lockdown, people, travel]",onlinenigeria.com,266
7,"[new, china, lockdown, people, travel]",patch.com,70
7,"[new, china, lockdown, people, travel]",ctpost.com,589
7,"[new, china, lockdown, people, travel]",cbc.ca,469
7,"[new, china, lockdown, people, travel]",daijiworld.com,469
7,"[new, china, lockdown, people, travel]",chinadaily.com.cn,737
7,"[new, china, lockdown, people, travel]",reuters.com,10090
7,"[new, china, lockdown, people, travel]",thejakartapost.com,760
7,"[new, china, lockdown, people, travel]",express.co.uk,933
7,"[new, china, lockdown, people, travel]",accesswdun.com,696
7,"[new, china, lockdown, people, travel]",thehour.com,572
7,"[new, china, lockdown, people, travel]",independent.co.uk,887
7,"[new, china, lockdown, people, travel]",stltoday.com,468
7,"[new, china, lockdown, people, travel]",vanguardngr.com,338
7,"[new, china, lockdown, people, travel]",moneycontrol.com,302
7,"[new, china, lockdown, people, travel]",hindustantimes.com,1068
7,"[new, china, lockdown, people, travel]",gulfnews.com,793
7,"[new, china, lockdown, people, travel]",forbes.com,369
7,"[new, china, lockdown, people, travel]",dawn.com,625
7,"[new, china, lockdown, people, travel]",bbc.com,719
7,"[new, china, lockdown, people, travel]",foxnews.com,404
3,"[positive, tested, news, home, people]",financialexpress.com,99
3,"[positive, tested, news, home, people]",cnn.com,292
3,"[positive, tested, news, home, people]",siouxcityjournal.com,160
3,"[positive, tested, news, home, people]",thejakartapost.com,116
3,"[positive, tested, news, home, people]",thehindu.com,445
3,"[positive, tested, news, home, people]",vanguardngr.com,273
3,"[positive, tested, news, home, people]",dailymail.co.uk,3535
3,"[positive, tested, news, home, people]",bbc.com,281
3,"[positive, tested, news, home, people]",washingtontimes.com,276
3,"[positive, tested, news, home, people]",timesnownews.com,250
3,"[positive, tested, news, home, people]",marketwatch.com,112
3,"[positive, tested, news, home, people]",nhregister.com,180
3,"[positive, tested, news, home, people]",nytimes.com,465
3,"[positive, tested, news, home, people]",ctpost.com,226
3,"[positive, tested, news, home, people]",ctvnews.ca,421
3,"[positive, tested, news, home, people]",straitstimes.com,188
3,"[positive, tested, news, home, people]",accesswdun.com,155
3,"[positive, tested, news, home, people]",xinhuanet.com,91
3,"[positive, tested, news, home, people]",china.org.cn,39
3,"[positive, tested, news, home, people]",washingtonpost.com,414
3,"[positive, tested, news, home, people]",chron.com,510
3,"[positive, tested, news, home, people]",reliefweb.int,13
3,"[positive, tested, news, home, people]",express.co.uk,810
3,"[positive, tested, news, home, people]",stltoday.com,206
3,"[positive, tested, news, home, people]",lmtonline.com,219
3,"[positive, tested, news, home, people]",seattlepi.com,257
3,"[positive, tested, news, home, people]",bbc.co.uk,447
3,"[positive, tested, news, home, people]",sfgate.com,692
3,"[positive, tested, news, home, people]",inquirer.net,1080
3,"[positive, tested, news, home, people]",business-standard.com,679
3,"[positive, tested, news, home, people]",scoop.co.nz,45
3,"[positive, tested, news, home, people]",timesofisrael.com,184
3,"[positive, tested, news, home, people]",indianexpress.com,461
3,"[positive, tested, news, home, people]",gazette.com,110
3,"[positive, tested, news, home, people]",thenews.com.pk,429
3,"[positive, tested, news, home, people]",forbes.com,205
3,"[positive, tested, news, home, people]",thehill.com,166
3,"[positive, tested, news, home, people]",news.com.au,350
3,"[positive, tested, news, home, people]",thestar.com,785
3,"[positive, tested, news, home, people]",apnews.com,144
3,"[positive, tested, news, home, people]",theglobeandmail.com,194
3,"[positive, tested, news, home, people]",channelnewsasia.com,177
3,"[positive, tested, news, home, people]",aninews.in,239
3,"[positive, tested, news, home, people]",princegeorgecitizen.com,201
3,"[positive, tested, news, home, people]",dawn.com,199
3,"[positive, tested, news, home, people]",fool.com,44
3,"[positive, tested, news, home, people]",firstpost.com,166
3,"[positive, tested, news, home, people]",daijiworld.com,301
3,"[positive, tested, news, home, people]",patch.com,279
3,"[positive, tested, news, home, people]",newstimes.com,196
3,"[positive, tested, news, home, people]",680news.com,168
3,"[positive, tested, news, home, people]",yahoo.com,1351
3,"[positive, tested, news, home, people]",prnewswire.com,14
3,"[positive, tested, news, home, people]",latimes.com,274
3,"[positive, tested, news, home, people]",reuters.com,1005
3,"[positive, tested, news, home, people]",chinadaily.com.cn,79
3,"[positive, tested, news, home, people]",telegraph.co.uk,329
3,"[positive, tested, news, home, people]",wfmz.com,135
3,"[positive, tested, news, home, people]",news12.com,215
3,"[positive, tested, news, home, people]",wickedlocal.com,1370
